CELEX,Directive name,Date of document,Date of effect,Amending,Country Code,Country,Measure Title,Transposition Deadline,Publication Date,Subject matter,Compliance_days,Compliance_weeks,Compliance_months
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"OIB-Richtlinie 6, Energieeinsparung und Wärmeschutz, OIB-330.6-026/19",2021-06-30,2019-04-30,"Energy, Environment",-792.0,-113.14285714285714,-26.4
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Oö. EU-Begleitregelungs- und Umsetzungsgesetz (Oö. EU-BUG) in der geltenden Fassung,2021-06-30,2024-11-21,"Energy, Environment",1240.0,177.14285714285714,41.333333333333336
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Pflichtenheft Energieeffizienz und Nachhaltigkeit für NÖ Landesgebäude,2021-06-30,2019-06-13,"Energy, Environment",-748.0,-106.85714285714286,-24.933333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Smart Klima City Strategie Wien,2021-06-30,2022-02-23,"Energy, Environment",238.0,34.0,7.933333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Tiroler Bauordnung 2022 – TBO 2022, LGBl. Nr. 44/2022, zuletzt geändert durch das Gesetz, LGBl. Nr. 85/2023",2021-06-30,2022-04-21,"Energy, Environment",295.0,42.142857142857146,9.833333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Tiroler Raumordnungsgesetz 2022 – TROG 2022, LGBl. Nr. 43/2022, zuletzt geändert durch das Gesetz LGBl. Nr. 85/2023",2021-06-30,2022-04-21,"Energy, Environment",295.0,42.142857142857146,9.833333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Verordnung der Bundesinnung der Sanitär-, Heizungs- und Lüftungstechniker über die Befähigungsprüfung für das reglementierte Gewerbe Gas- und Sanitärtechnik (Gas- und Sanitärtechnik-Befähigungsprüfungsordnung)",2021-06-30,2021-04-13,"Energy, Environment",-78.0,-11.142857142857142,-2.6
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Verordnung der Bundesinnung der Sanitär-, Heizungs- und Lüftungstechniker über die Meisterprüfung für das Handwerk Heizungstechnik",2021-06-30,2021-04-08,"Energy, Environment",-83.0,-11.857142857142858,-2.7666666666666666
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Verordnung der Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität,  Innovation und Technologie über Nachhaltigkeitskriterien und Kriterien für  Treibhausgaseinsparungen für flüssige Biobrennstoffe und Biomasse-Brennstoffe  (Biomasseenergie-Nachhaltigkeitsverordnung – BMEN-VO)",2021-06-30,2023-04-03,"Energy, Environment",642.0,91.71428571428571,21.4
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Verordnung der Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie betreffend die Berechnung des Anteils von Energie aus erneuerbaren Quellen 2023",2021-06-30,2023-12-28,"Energy, Environment",911.0,130.14285714285714,30.366666666666667
